text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
"RT @Quicktake: The promise of a new age of limitless clean energy is dawning in France. 

@FryRsquared goes inside the largest internationa…",411,0,2023-06-08 09:01:17+00:00,"['rt', 'quicktake', 'promise', 'new', 'age', 'limitless', 'clean', 'energy', 'dawning', 'france', 'fryrsquared', 'go', 'inside', 'largest', 'internationa…']",0.0,0.372,0.628,0.7269,Positive,[],"['france', 'internationa']"
"RT @smritiirani: ‘India’s green energy sector to attract $800 bn investment’
 https://t.co/fw2oWosKTb

via NaMo App https://t.co/82TnlKMMnT",390,0,2023-06-08 09:03:56+00:00,"['rt', 'smritiirani', '‘', 'india', '’', 'green', 'energy', 'sector', 'attract', '800', 'bn', 'investment', '’', 'via', 'namo', 'app']",0.0,0.295,0.705,0.5574,Positive,[],"['india', 'namo']"
"RT @SawyerMerritt: Here is the Mongolian PM meeting virtually with @elonmusk today. 

“We discussed the possibility of welcoming @Tesla to…",373,0,2023-06-08 09:23:53+00:00,"['rt', 'sawyermerritt', 'mongolian', 'pm', 'meeting', 'virtually', 'elonmusk', 'today', '“', 'discussed', 'possibility', 'welcoming', 'tesla', 'to…']",0.0,0.195,0.805,0.4404,Positive,[],[]
"RT @AfricaFactsZone: Nairobi, Kenya is building Africa’s largest kitchen.

It will use 100% green energy through modern cooking technology.…",342,0,2023-06-08 09:46:49+00:00,"['rt', 'africafactszone', 'nairobi', 'kenya', 'building', 'africa', '’', 'largest', 'kitchen', 'use', '100', 'green', 'energy', 'modern', 'cooking', 'technology…']",0.0,0.13,0.87,0.2732,Positive,[],['kenya']
"RT @RailMinIndia: Head On Generation: Energy Efficiency Redefined in Rail coaches!

#MissionLiFE
#ChooseLiFE https://t.co/wdcSFK0hJm",336,0,2023-06-08 05:38:23+00:00,"['rt', 'railminindia', 'head', 'generation', 'energy', 'efficiency', 'redefined', 'rail', 'coach', 'missionlife', 'chooselife']",0.0,0.338,0.662,0.5574,Positive,['rt railminindia head generation'],[]
RT @tme_michael: Apple should start quoting battery life while plugged in for all future products #WWDC23 https://t.co/YbfZ0d3T2k,330,0,2023-06-08 06:04:00+00:00,"['rt', 'tmemichael', 'apple', 'start', 'quoting', 'battery', 'life', 'plugged', 'future', 'product', 'wwdc23']",0.0,0.0,1.0,0.0,Neutral,['rt tmemichael apple'],[]
"RT @OasisMania: Liam Gallagher - KNEBWORTH 22. The live album, out 11.8.23

1.    Hello
2.    Rock ‘n’ Roll Star
3.    Wall Of Glass
4.    …",312,0,2023-06-08 09:28:03+00:00,"['rt', 'oasismania', 'liam', 'gallagher', 'knebworth', '22', 'live', 'album', '11823', '1', 'hello', '2', 'rock', '‘', 'n', '’', 'roll', 'star', '3', 'wall', 'glass', '4', '…']",0.0,0.0,1.0,0.0,Neutral,[],[]
"RT @DaaruBaazMehta: GOOD NEWS FROM DELHI

Delhi Govt's PWD Dept is working on a proposal to transform the empty spaces below Flyovers.

The…",306,0,2023-06-08 01:31:44+00:00,"['rt', 'daarubaazmehta', 'good', 'news', 'delhi', 'delhi', 'govts', 'pwd', 'dept', 'working', 'proposal', 'transform', 'empty', 'space', 'flyover', 'the…']",0.096,0.155,0.749,0.2732,Positive,[],[]
"RT @WSJCustom: Paid Program with Mytilineos: Innovation around efficiency, renewables and recycling opens new markets for a metals and ener…",303,0,2023-06-08 09:56:50+00:00,"['rt', 'wsjcustom', 'paid', 'program', 'mytilineos', 'innovation', 'around', 'efficiency', 'renewables', 'recycling', 'open', 'new', 'market', 'metal', 'ener…']",0.0,0.282,0.718,0.6249,Positive,[],[]
"RT @_akhaliq: HuggingChat, the 100% open-source alternative to ChatGPT by HuggingFace just added a web search feature

Link: https://t.co/v…",299,0,2023-06-07 06:34:55+00:00,"['rt', 'akhaliq', 'huggingchat', '100', 'opensource', 'alternative', 'chatgpt', 'huggingface', 'added', 'web', 'search', 'feature', 'link']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @MikeHudema: Norway just finished building Europe's largest onshore wind farm. It can generate enough energy to power 1 million homes.…,296,0,2023-06-08 09:29:09+00:00,"['rt', 'mikehudema', 'norway', 'finished', 'building', 'europe', 'largest', 'onshore', 'wind', 'farm', 'generate', 'enough', 'energy', 'power', '1', 'million', 'homes…']",0.0,0.123,0.877,0.2732,Positive,[],[]
"RT @Roman_Baber: The Liberals &amp; the @bankofcanada are waging a war on Canadians!
Present inflation isn’t caused by overheating economy but…",288,0,2023-06-08 09:58:43+00:00,"['rt', 'romanbaber', 'liberal', 'amp', 'bankofcanada', 'waging', 'war', 'canadian', 'present', 'inflation', '’', 'caused', 'overheating', 'economy', 'but…']",0.231,0.0,0.769,-0.5994,Negative,[],[]
"RT @maritstiles: .@Peter_Tabuns: ""Ontario is the only province in Canada that is rated with elevated risk that it can’t meet peak demand.""…",286,0,2023-06-07 23:56:51+00:00,"['rt', 'maritstiles', 'petertabuns', 'ontario', 'province', 'canada', 'rated', 'elevated', 'risk', '’', 'meet', 'peak', 'demand…']",0.16,0.0,0.84,-0.2732,Negative,[],['canada']
"RT @unusual_whales: JUST IN: The SEC Chair Gary Gensler reportedly offered to serve as an advisor to Binance, as per Binance’s lawyers and…",285,0,2023-06-08 09:36:36+00:00,"['rt', 'unusualwhales', 'sec', 'chair', 'gary', 'gensler', 'reportedly', 'offered', 'serve', 'advisor', 'binance', 'per', 'binance', '’', 'lawyer', 'and…']",0.0,0.0,1.0,0.0,Neutral,['sec'],[]
"RT @BscRetoken: Congratulations to the $RET community, we've reached a new high at the same day

$RET is not just a project, $RET is a life…",269,0,2023-06-08 09:57:05+00:00,"['rt', 'bscretoken', 'congratulation', 'ret', 'community', 'weve', 'reached', 'new', 'high', 'day', 'ret', 'project', 'ret', 'life…']",0.0,0.306,0.694,0.6486,Positive,['ret'],[]
"RT @UN: On Saturday’s #WorldBicycleDay &amp; every day, the UN is supporting the use of bicycles to transform mobility, while also helping to c…",267,0,2023-06-07 11:28:56+00:00,"['rt', 'un', 'saturday', '’', 'worldbicycleday', 'amp', 'every', 'day', 'un', 'supporting', 'use', 'bicycle', 'transform', 'mobility', 'also', 'helping', 'c…']",0.0,0.267,0.733,0.6249,Positive,"['un', 'un']",[]
"RT @FinPlanKaluAja1: Abia State can set up a electric bicycle industry 

Get a license to assemble and build.

Market dey",264,0,2023-06-03 00:35:25+00:00,"['rt', 'finplankaluaja1', 'abia', 'state', 'set', 'electric', 'bicycle', 'industry', 'get', 'license', 'assemble', 'build', 'market', 'dey']",0.0,0.0,1.0,0.0,Neutral,[],['abia']
RT @arikring: @Jackthelad1947 @charluv2011 @wernerkeil @raduede @Tecgale @MarianSmedley @kirillklip @MLCzone @NPSusa @enricomolinari @Hal_G…,261,0,2023-06-05 02:00:48+00:00,"['rt', 'arikring', 'jackthelad1947', 'charluv2011', 'wernerkeil', 'raduede', 'tecgale', 'mariansmedley', 'kirillklip', 'mlczone', 'npsusa', 'enricomolinari', 'halg…']",0.0,0.0,1.0,0.0,Neutral,[],[]
"RT @FDNY: In this new PSA, we urge the public to examine their micromobility devices/batteries for damage, to see if they are certified &amp; c…",258,0,2023-06-05 23:22:11+00:00,"['rt', 'fdny', 'new', 'psa', 'urge', 'public', 'examine', 'micromobility', 'devicesbatteries', 'damage', 'see', 'certified', 'amp', 'c…']",0.198,0.0,0.802,-0.4939,Negative,[],[]
"RT @exoticaviation: SEPTEMBER 13TH 1962: an iconic photo, taken by Jim Meads - capturing the moment when 15-year old farmhand Mick Sutterby…",256,0,2023-06-08 09:30:32+00:00,"['rt', 'exoticaviation', 'september', '13th', '1962', 'iconic', 'photo', 'taken', 'jim', 'mead', 'capturing', 'moment', '15year', 'old', 'farmhand', 'mick', 'sutterby…']",0.0,0.0,1.0,0.0,Neutral,[],[]
"RT @LiquidPiston: Meet the X-Engine™ – the industry-upending engine that is compatible with a variety of fuels, including hydrogen. This co…",243,0,2023-06-08 08:27:52+00:00,"['rt', 'liquidpiston', 'meet', 'xengine™', '–', 'industryupending', 'engine', 'compatible', 'variety', 'fuel', 'including', 'hydrogen', 'co…']",0.0,0.0,1.0,0.0,Neutral,[],[]
