text,retweet_count,favorite_count,created_at
RT @TeslaSg: Karen complaining about EV emissions $TSLA https://t.co/ZCI5vn0rbj,147,0,2023-06-08 09:19:57+00:00
"RT @sdhruv86: Good News

First Batch of 100 DTC Electric Buses arrived in Mayapuri Depot. Charging Infrastructure Completed.

Will be Rolle…",145,0,2023-06-08 09:26:32+00:00
"RT @UKLabour: Britain cannot grow with low wages and insecure jobs.

That’s why Labour will put workers at the heart of our mission to make…",145,0,2023-06-08 09:03:59+00:00
"RT @stufflistings: JBL Tune Beam
Black, White, Blue, Purple
ANC
Smart Ambient Mode and TalkThru mode
JBL Pure Bass Sound
QuickCharge suppor…",145,0,2023-06-08 09:33:29+00:00
"RT @SenSchumer: With @POTUS and Dems in Congress:

32,000 infrastructure projects and $470B+ worth of private investments have been announc…",144,0,2023-06-08 05:32:38+00:00
"RT @AndrewRTDavies: Today in Wales, nurses are out on strike. 

Seems timely to point out our Welsh NHS is not run by the Conservatives.…",142,0,2023-06-08 05:33:31+00:00
"RT @kucoincom: 🤖New assets added to the Trading Bots.@FractonProtocol
 
📈 Spot Grid: HIFIDENZA/USDT

♾ Infinity Grid: HIFIDENZA/USDT

💰 DCA…",134,0,2023-06-07 12:24:50+00:00
RT @cinnamonpatriot: @EV_Trapper @TomFitton Let’s see those 1800 boxes old sleepy creepy Joe has stashed away. Oh right we only prosecute r…,131,0,2023-06-08 09:31:40+00:00
"RT @solar_plannet: Spending all day on endless queues, just to power your GENERATOR?

Get a 24/7 solar inverter system installed in your ho…",130,0,2023-06-08 08:40:34+00:00
"RT @KTRBRS: ✳️ Telangana shines as a leader in renewable energy production too! 

✳️ From a mere 74 MW of solar power at its formation, the…",130,0,2023-06-08 07:46:10+00:00
"RT @NukeForClimate: Germany: on a visit to the lignite Land of Brandenburg, the Ecologist Minister of the Economy announces that he will re…",129,0,2023-06-08 05:08:50+00:00
RT @arikring: @RisePDX @Jackthelad1947 @seth_leitman @debraruh @charluv2011 @TimGuinee @wernerkeil @SaleemulHuq @stracma @JeremyMallin @rad…,128,0,2023-06-06 20:37:45+00:00
RT @PressSec: https://t.co/J0JJnBCCzD features an interactive map that shows the $470 billion and counting in private sector investments in…,127,0,2023-06-08 08:57:43+00:00
RT @strengthPlan: Tesla makes the “impossible turn” #tsla https://t.co/tn8CxC454Q,126,0,2023-06-08 09:25:38+00:00
"RT @Vivo_Phil: Always on the go? Worry about your battery life no more with vivo Y35's fast charging feature! 💙

Now for only ₱11,999! 

Ge…",123,0,2023-06-08 02:12:52+00:00
RT @luvyunjn: yunjin electric guitar for weverse park ??? https://t.co/A0ePG6Z59i,121,0,2023-06-08 09:35:36+00:00
"RT @Manpree01197752: Saving energy reduces air and water  pollution and conserves natural https://t.co/WQqfN4Boca the same time ,efficiency…",118,0,2023-06-08 03:54:21+00:00
RT @AnwarBulediPPP: Sindh CM @MuradAliShahPPP presides over a cabinet meeting at CM House. The cabinet would discuss and decide 16 agenda i…,117,0,2023-06-08 08:47:33+00:00
"@RT_com's account has been withheld in Belgium, Austria, Bulgaria, Sweden, Croatia, Spain, Slovenia, Cyprus, Slovakia, Czech Republic, Romania, Portugal, Poland, Denmark, Netherlands, Estonia, Malta, Luxembourg, Finland, France, Lithuania, Germany, Greece, Latvia, Hungary, Italy, Ireland, United Kingdom in response to a legal demand. Learn more.",116,0,2023-06-08 09:19:24+00:00
"RT @latimeralder: The fundamental flaw with wind power

Unchanged in 1,000 years

Not even if you rename a windmill a 'turbine'

Not even i…",115,0,2023-06-08 10:21:00+00:00
"Elon Musk met with Mongolia’s PM
This is what the PM said
“We discussed the possibility of welcoming @Tesla to #Mongolia and the potential use of #copper and #rareearth elements in #electricvehicle and battery production for industrial-scale mining.” https://t.co/N44ChGvidb",113,635,2023-06-07 08:39:09+00:00
"RT @imUrB00gieman: Good luck expanding the National Power Grid to match the demands being placed on it by electric vehicles.
Power Companie…",113,0,2023-06-08 09:25:03+00:00
"RT @teslaownersSV: Elon Musk met with Mongolia’s PM
This is what the PM said
“We discussed the possibility of welcoming @Tesla to #Mongolia…",113,0,2023-06-08 09:17:25+00:00
"No Cap, MG Comet EV is straight up slayin' sustainability! 

Get your green on and secure the Comet EV at an introductory price starting from ₹7,98,000*.

#UrbanMobility #CometEV #MGMotorIndia #BookNow #MorrisGarages https://t.co/PB6ozIf6s8",110,243,2023-06-05 12:27:07+00:00
"RT @MGMotorIn: No Cap, MG Comet EV is straight up slayin' sustainability! 

Get your green on and secure the Comet EV at an introductory pr…",110,0,2023-06-07 15:46:25+00:00
"RT @PiyushGoyal: At the Business Meeting organised by the Govt. of Ontario, met Ministers &amp; executives of prominent Canadian companies to d…",107,0,2023-06-03 05:02:32+00:00
"RT @vonderleyen: Good meeting with President Sultan Al Jaber to prepare @COP28_UAE.

In Dubai we will take stock of progress on the Paris A…",107,0,2023-06-08 09:42:32+00:00
"RT @TalkTV: “We’ve got gas and oil in the sea next to us and you in Labour don’t want us to exploit that!”

Julia Hartley-Brewer clashes wi…",107,0,2023-06-08 09:11:20+00:00
"RT @MamaRachelRuto: Ebee, an innovative electric bicycle company based in Amsterdam and operating in Kenya, is poised to transform transpor…",106,0,2023-06-06 16:09:57+00:00
"RT @premnsikka: Shell adverts banned over misleading clean energy claims.

Imagine the company boardroom scene - directors sitting around t…",104,0,2023-06-08 08:28:42+00:00
"RT @solar_plannet: Worried about the endless queue you'd join, just to power your GENERATOR?

Get a 24/7 solar electricity installed in you…",102,0,2023-06-08 08:40:55+00:00
"RT @YusufDFI: India will offer $455 million in incentives to companies setting up battery storage projects totaling 4,000 MWh.
The scheme i…",102,0,2023-06-08 04:28:34+00:00
"A ""Karen"" approaches man &amp; child in his car &amp; berates him for not turning his engine off. She lectures him on pollution &amp; the dangers to children.

The man points out it is an electric car. https://t.co/dBSW6xM4LA",101,354,2023-06-08 08:58:22+00:00
"RT @johnredwood: Most of the energy burned in a power station is lost on its way to power an electric car. There is generation loss, transm…",101,0,2023-06-08 08:47:58+00:00
"RT @ValaAfshar: In South Korea 🇰🇷, the solar panels in the middle of the highway have a bicycle path underneath - cyclists are protected fr…",100,0,2023-06-08 09:27:19+00:00
"RT @TonyClimate: Wind power in UK has been steadily declining all year
#ClimateScam 

https://t.co/icbLKgi9kM https://t.co/oeW0dz4QlU",100,0,2023-06-08 10:17:53+00:00
RT @guardian: Fact check: why Rowan Atkinson is wrong about electric vehicles https://t.co/adRgxxFr6w,99,0,2023-06-08 09:33:20+00:00
"RT @ArmedPatriot45: Kerry &amp; other climate charlatans like @AOC, made millions off of their green energy scams!

Remember Solyndra??

@Barac…",99,0,2023-06-08 08:37:24+00:00
RT @Barbarajdurkin: @RoyPentland @MedBennett @thinks_about_it @ReckedRik @FeynmanFreaky @TheDisproof @jimdtweet @BubbasRanch @d_e_mol @IBer…,99,0,2023-06-08 08:37:04+00:00
RT @markgurman: I also wonder how Apple landed on 2 hours of battery life and this battery puck size. I wonder if there are diminishing ret…,96,0,2023-06-06 20:45:22+00:00
RT @NetZeroWatch: Germany faces electricity shortages that will see critical industries ditch the country after the government decided to s…,94,0,2023-06-08 08:38:44+00:00
RT @RichardWellings: Energy shortages are deliberately being created in order to keep bills permanently high and rig the market in favour o…,90,0,2023-06-08 07:57:37+00:00
"📢 @DivinerProtocol announced a parternship with @eTukTukio to expand Diviner Protocol ecosystem in #Cardano &amp; automotive industry!

eTUKTUK is at the very core of the electric vehicle transition, sharing economy, e-mobility &amp; #web3 adoption

#Crypto #CryptoNews #DeFi #Metaverse https://t.co/Ff2y3FBiIP",88,170,2023-06-06 05:42:25+00:00
RT @BNBSwap: 📢 @DivinerProtocol announced a parternship with @eTukTukio to expand Diviner Protocol ecosystem in #Cardano &amp; automotive indus…,88,0,2023-06-06 15:51:15+00:00
"RT @ACCIONAEnergia: If a wind farm 🌬 had its own photo album we would surely find these on the cover 😍

Discover them here below 👇 https://…",88,0,2023-06-08 09:42:52+00:00
"RT @Eli_Krumova: If you have also recharged with a #summer brake, check this #solar #electricvehicle that needs no charging 👇🏽

🎦 @mashable…",87,0,2023-06-07 14:38:26+00:00
"RT @instablog9ja: Subsidy Removal: Adamawa Lawmaker opts for bicycle to ‘identify with the masses’

Chief Whip of the Adamawa State House o…",87,0,2023-06-02 23:27:08+00:00
"RT @DaveAtherton20: A ""Karen"" approaches man &amp; child in his car &amp; berates him for not turning his engine off. She lectures him on pollution…",86,0,2023-06-08 10:18:05+00:00
"RT @opportunitiesfy: please #SHARE, #APPLY, OR #TAG SOMEONE

Here is the list of the top fully funded and paid opportunities young people c…",85,0,2023-06-08 09:40:40+00:00
"RT @t3sla_remy: Launch of a new service between Zeebrugge (ICO) and Valenton (CAT) for TESLA.
This train, carrying 240 Model Y or Model 3 v…",83,0,2023-06-08 09:33:30+00:00
"RT @Insharamin: Looking for a comprehensive learning guide for React? 

We've got you covered! 🚀

Introducing the ultimate React roadmap, d…",81,0,2023-06-08 08:09:52+00:00
"RT @ahmerdrufae: BRAND NEW 
FOLDABLE  
LEBRON 
ELECTRIC BICYCLE 
GOING FOR JUST N480k. https://t.co/vf3PxnSYI1",81,0,2023-06-02 22:01:15+00:00
"RT @p_brass1: Electric kiss!

#creek https://t.co/XmFJX8sgZZ",80,0,2023-06-08 09:24:41+00:00
RT @QuirkyRides: If you haven't seen it before here's the #Tama from 1947 #Nissan's 1st #ElectricVehicle. It could travel 66 miles at 22mph…,79,0,2023-06-07 22:53:06+00:00
